unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1.53E+12,2018-05-12 00:00,BTC/USDT,8405.94,8646.88,8153,8465.94,40241.32081,337899865.9,310305
1.53E+12,2018-05-11 00:00,BTC/USDT,9002.21,9016.8,8341,8400,48227.04806,418859806.5,365538
1.53E+12,2018-05-10 00:00,BTC/USDT,9310,9395.12,8970,9002.2,25055.06372,231595002.6,221075
1.53E+12,2018-05-09 00:00,BTC/USDT,9178,9390,8965,9310,25673.5249,235736782.3,192337
1.53E+12,2018-05-08 00:00,BTC/USDT,9365,9475.7,9060.54,9187.56,25533.83189,236418155.7,189159
1.53E+12,2018-05-07 00:00,BTC/USDT,9661.02,9689.67,9181,9365,33787.64001,316015961.4,230754
1.53E+12,2018-05-06 00:00,BTC/USDT,9863.99,9970,9417.03,9659.01,27690.35156,267359420.3,229309
1.53E+12,2018-05-05 00:00,BTC/USDT,9714,10020,9682,9864,24990.01835,246807563.5,212076
1.53E+12,2018-05-04 00:00,BTC/USDT,9750,9830.04,9520.85,9713.99,28681.58888,277565997.6,210165
1.53E+12,2018-05-03 00:00,BTC/USDT,9247.81,9844,9168.4,9750,38768.38829,366028365.2,282581
1.53E+12,2018-05-02 00:00,BTC/USDT,9071.48,9268,8970.2,9247.84,26123.54396,238421833.8,188258
1.53E+12,2018-05-01 00:00,BTC/USDT,9246.01,9248.99,8800.49,9071.48,41018.46363,368688349.6,268741
1.53E+12,2018-04-30 00:00,BTC/USDT,9417.04,9458.64,9124.99,9246.01,35002.03388,325019389.2,285951
1.52E+12,2018-04-29 00:00,BTC/USDT,9348,9570.51,9163.74,9419,38149.85004,357004896,311494
1.52E+12,2018-04-28 00:00,BTC/USDT,8915.35,9427.48,8870,9348,34759.62842,321653866.2,257288
1.52E+12,2018-04-27 00:00,BTC/USDT,9267.03,9395,8889,8915.35,37241.34704,342805674.6,268471
1.52E+12,2018-04-26 00:00,BTC/USDT,8869.99,9307.48,8651.62,9266,43300.30425,385046648.1,285850
1.52E+12,2018-04-25 00:00,BTC/USDT,9618.96,9759.82,8730,8869.99,81110.03759,745137763,477363
1.52E+12,2018-04-24 00:00,BTC/USDT,8934,9731.01,8922,9619.99,46268.79011,431210048.1,326608
1.52E+12,2018-04-23 00:00,BTC/USDT,8785.7,8985,8745,8934.01,25838.11471,229754640.6,190944
1.52E+12,2018-04-22 00:00,BTC/USDT,8915.31,9020.67,8727.68,8787.02,29458.25348,261804372.9,229871
1.52E+12,2018-04-21 00:00,BTC/USDT,8852.12,9035,8565,8915.31,40872.22991,358915978.1,295374
1.52E+12,2018-04-20 00:00,BTC/USDT,8273.84,8930,8177.09,8856.98,39795.33749,337288580.4,289687
1.52E+12,2018-04-19 00:00,BTC/USDT,8173.99,8296,8080,8278,27113.84746,222675105.8,196821
1.52E+12,2018-04-18 00:00,BTC/USDT,7890.96,8236.43,7868,8173,26969.04457,217649160.1,183472
1.52E+12,2018-04-17 00:00,BTC/USDT,8064.92,8173.7,7825.4,7885.02,32152.60357,258221765.6,221228
1.52E+12,2018-04-16 00:00,BTC/USDT,8355.07,8419,7867,8064.92,36664.06972,295817536.5,226748
1.52E+12,2018-04-15 00:00,BTC/USDT,8004,8429.54,7999.02,8355,27946.72044,230287099.6,181778
1.52E+12,2018-04-14 00:00,BTC/USDT,7877.48,8186,7810,7999.01,31621.28636,252868761.3,194500
1.52E+12,2018-04-13 00:00,BTC/USDT,7922.99,8233.39,7732,7877.41,55044.52315,439884522.7,351905
1.52E+12,2018-04-12 00:00,BTC/USDT,6953.78,8012.23,6743.2,7923,64861.59599,485176252.5,404588
1.52E+12,2018-04-11 00:00,BTC/USDT,6839.56,6990,6787,6953.79,23997.87118,165264003.4,155607
1.52E+12,2018-04-10 00:00,BTC/USDT,6781.55,6890,6656,6843.9,22326.7281,151417844.3,147755
1.52E+12,2018-04-09 00:00,BTC/USDT,7011.04,7185,6611,6782.72,34078.29721,234309953.8,212669
1.52E+12,2018-04-08 00:00,BTC/USDT,6895.81,7109.13,6880,7018,21427.67317,149967346.7,152461
1.52E+12,2018-04-07 00:00,BTC/USDT,6601.39,7070,6586.28,6895.8,32269.57827,222323863.5,178577
1.52E+12,2018-04-06 00:00,BTC/USDT,6770,6850,6500,6601.39,27455.01192,182139799.8,162456
1.52E+12,2018-04-05 00:00,BTC/USDT,6796.1,6902,6566.69,6770.76,39029.73146,263446941.1,238476
1.52E+12,2018-04-04 00:00,BTC/USDT,7405.21,7427.52,6707,6796.1,42227.1838,297443582.7,277249
1.52E+12,2018-04-03 00:00,BTC/USDT,7063.97,7520,7011.01,7405.21,37787.33181,277080072.8,248143
1.52E+12,2018-04-02 00:00,BTC/USDT,6813.01,7125,6765,7056,32123.56007,224322159.4,206780
1.52E+12,2018-04-01 00:00,BTC/USDT,6922,7049.98,6430,6813.01,44071.43046,297470498.8,260942
1.52E+12,2018-03-31 00:00,BTC/USDT,6840.24,7223.36,6777,6923.91,36868.53909,258341534.5,240293
1.52E+12,2018-03-30 00:00,BTC/USDT,7090.16,7292.43,6600.1,6840.23,65306.03198,450352009.2,400057
1.52E+12,2018-03-29 00:00,BTC/USDT,7949.3,7975,6941.11,7090.14,54620.91513,405591158.6,359537
1.52E+12,2018-03-28 00:00,BTC/USDT,7795.51,8109,7728,7949.3,26401.33167,209186093.2,183620
1.52E+12,2018-03-27 00:00,BTC/USDT,8134.22,8215.94,7730,7795.51,37427.64805,297609656.4,266540
1.52E+12,2018-03-26 00:00,BTC/USDT,8470.14,8514.89,7831,8134.23,44033.59566,358429758.9,310462
1.52E+12,2018-03-25 00:00,BTC/USDT,8531.25,8669.85,8365.77,8470.15,29001.76932,247023172.3,215660
1.52E+12,2018-03-24 00:00,BTC/USDT,8898.04,8999.95,8491,8546.86,35466.60957,313254829.9,270300
1.52E+12,2018-03-23 00:00,BTC/USDT,8720,8909,8269,8898.03,39991.00767,340755592.5,278571
1.52E+12,2018-03-22 00:00,BTC/USDT,8884.82,9100,8465.1,8722.9,40617.55681,354804129.3,276449
1.52E+12,2018-03-21 00:00,BTC/USDT,8909.96,9177.01,8750.6,8885,39972.40537,358157473.4,293696
1.52E+12,2018-03-20 00:00,BTC/USDT,8595.01,9050,8280,8909.98,44865.10584,387879393.5,298261
1.52E+12,2018-03-19 00:00,BTC/USDT,8189,8705.23,8088.4,8600,55297.08494,462654339,360414
1.52E+12,2018-03-18 00:00,BTC/USDT,7824.01,8317.4,7322,8189.99,59488.23171,458311733.5,423336
1.52E+12,2018-03-17 00:00,BTC/USDT,8260,8348.62,7721.99,7824.8,33110.20633,265973111.6,292041
1.52E+12,2018-03-16 00:00,BTC/USDT,8240.98,8611.64,7900,8260,38815.40989,322355002.2,255807
1.52E+12,2018-03-15 00:00,BTC/USDT,8184.01,8430,7650,8240.98,52291.02228,422130717.5,400529
1.52E+12,2018-03-14 00:00,BTC/USDT,9151.92,9333.78,7900.28,8170,49708.09411,426058009.8,399127
1.52E+12,2018-03-13 00:00,BTC/USDT,9131.34,9474,8823,9150,40191.40936,367353984.7,342734
1.52E+12,2018-03-12 00:00,BTC/USDT,9533.57,9888.88,8780,9131.34,42230.77793,395562731.9,336642
1.52E+12,2018-03-11 00:00,BTC/USDT,8770.22,9740,8450,9533.57,44325.97339,403491260.9,333367
1.52E+12,2018-03-10 00:00,BTC/USDT,9230,9490,8667.07,8770.22,37180.01286,341210248.4,288066
1.52E+12,2018-03-09 00:00,BTC/USDT,9267.07,9410,8329,9227,64112.29141,567082901.1,462712
1.52E+12,2018-03-08 00:00,BTC/USDT,9910,10099,9060,9271.64,41109.47323,394641280.6,336514
1.52E+12,2018-03-07 00:00,BTC/USDT,10716.48,10899,9389.31,9910,50647.67108,514808033.5,396721
1.52E+12,2018-03-06 00:00,BTC/USDT,11455,11455,10555.48,10716.48,29515.57236,323842216.6,250306
1.52E+12,2018-03-05 00:00,BTC/USDT,11515,11710,11415.01,11454,15144.23106,174866951.4,164318
1.52E+12,2018-03-04 00:00,BTC/USDT,11464.47,11565,11050.02,11515,17295.91865,194849579.1,168359
1.52E+12,2018-03-03 00:00,BTC/USDT,11038.99,11544,11015.01,11464.48,21287.15328,241749497.9,190444
1.52E+12,2018-03-02 00:00,BTC/USDT,10923.36,11200,10770,11039,23910.71009,262936307,211691
1.52E+12,2018-03-01 00:00,BTC/USDT,10325.64,11060.41,10240,10920,25092.55393,268172535.4,230428
1.52E+12,2018-02-28 00:00,BTC/USDT,10584.33,11098,10300,10326.76,30800.98378,327914696.1,277886
1.52E+12,2018-02-27 00:00,BTC/USDT,10321,10870,10121,10569.04,30705.38512,324295371.1,240542
1.52E+12,2018-02-26 00:00,BTC/USDT,9590,10444.32,9350,10324,34878.29276,347559259.7,285276
1.52E+12,2018-02-25 00:00,BTC/USDT,9694.51,9847,9274.8,9590,28373.51759,271286599.1,233567
1.52E+12,2018-02-24 00:00,BTC/USDT,10131.04,10496.97,9352,9694.51,40888.1563,405618586.6,337918
1.52E+12,2018-02-23 00:00,BTC/USDT,9815.55,10435,9570.19,10131.04,57202.70237,571800753.5,467480
1.52E+12,2018-02-22 00:00,BTC/USDT,10439.02,10933.44,9679,9811.04,67060.16648,682006373.9,506273
1.52E+12,2018-02-21 00:00,BTC/USDT,11195.07,11304.03,10200,10437.6,68113.81875,731537130.5,542340
1.52E+12,2018-02-20 00:00,BTC/USDT,11147.11,11786.01,11100.59,11200.99,48153.35429,551573232.2,432197
1.52E+12,2018-02-19 00:00,BTC/USDT,10375.01,11250,10270.33,11153,40831.41713,443766562.7,366882
1.52E+12,2018-02-18 00:00,BTC/USDT,11039.55,11274,10080,10383.43,61137.38073,649423311.3,537534
1.52E+12,2018-02-17 00:00,BTC/USDT,10156.07,11075.07,10050,11039.55,41882.10841,446012696.2,413585
1.52E+12,2018-02-16 00:00,BTC/USDT,10000.89,10323.37,9666,10159.98,38161.20597,381103299.2,405310
1.52E+12,2018-02-15 00:00,BTC/USDT,9449.98,10219.5,9301.5,10000.09,52427.59672,512388484.7,608349
1.52E+12,2018-02-14 00:00,BTC/USDT,8535.17,9489.6,8533,9449.99,40811.95287,370126692.7,514897
1.52E+12,2018-02-13 00:00,BTC/USDT,8903,8950,8351,8539.9,35454.97296,305165143.7,401893
1.52E+12,2018-02-12 00:00,BTC/USDT,8063.82,8989,8053,8903,41987.85049,362440827,477660
1.52E+12,2018-02-11 00:00,BTC/USDT,8533.99,8549,7726.53,8063.88,45025.18795,366966437.2,524626
1.52E+12,2018-02-10 00:00,BTC/USDT,8683.93,9065.78,8120,8533.98,49381.51265,423411421.9,537578
1.52E+12,2018-02-09 00:00,BTC/USDT,7789.9,8738,7789.9,8683.92,20482.91083,173348469.8,273091
1.52E+12,2018-02-08 00:00,BTC/USDT,7599,7844,7572.09,7784.02,1521.537318,11770168.04,12417
1.52E+12,2018-02-07 00:00,BTC/USDT,7655.02,8476,7150.01,7599,60778.4605,477935038.8,514893
1.52E+12,2018-02-06 00:00,BTC/USDT,6939.63,7878,6000.01,7652.14,100201.5003,684364276.4,785996
1.52E+12,2018-02-05 00:00,BTC/USDT,8179.99,8382.8,6625,6939.99,63403.18258,471166218.7,533510
1.52E+12,2018-02-04 00:00,BTC/USDT,9199.96,9368,7930,8184.81,32014.30845,274912288.4,356134
1.52E+12,2018-02-03 00:00,BTC/USDT,8873.03,9473.01,8229,9199.96,28725.00074,256834729.1,327519
1.52E+12,2018-02-02 00:00,BTC/USDT,9224.52,9250,8010.02,8873.03,49971.62698,434236483.7,453411
1.52E+12,2018-02-01 00:00,BTC/USDT,10285.1,10335,8750.99,9224.52,33564.76431,317636346,316020
1.52E+12,2018-01-31 00:00,BTC/USDT,10230,10425.85,9700,10285.1,18015.95681,181644207.1,201422
1.52E+12,2018-01-30 00:00,BTC/USDT,11250.11,11308.42,9900,10237.51,25554.37295,268978329.5,259212
1.52E+12,2018-01-29 00:00,BTC/USDT,11879.95,11975.02,11139.55,11251,14170.37754,162110154.9,169199
1.52E+12,2018-01-28 00:00,BTC/USDT,11499.98,12244,11408,11879.95,16887.33952,200211582.9,206247
1.52E+12,2018-01-27 00:00,BTC/USDT,11089,11650,10842.69,11491,18860.76835,212663199.5,207478
1.52E+12,2018-01-26 00:00,BTC/USDT,11184.7,11643,10311.15,11089,33056.87196,360482470.2,314720
1.52E+12,2018-01-25 00:00,BTC/USDT,11349.96,11794.05,10950.21,11175.27,20839.95418,236081365,221040
1.52E+12,2018-01-24 00:00,BTC/USDT,10799.14,11570.48,10500,11349.99,27158.58776,299470607.4,293429
1.52E+12,2018-01-23 00:00,BTC/USDT,10760.05,11399,9905,10799.18,37473.92255,399419413.2,355286
1.52E+12,2018-01-22 00:00,BTC/USDT,11530,11926.35,9900.24,10760.05,43752.60679,475716514.2,363264
1.52E+12,2018-01-21 00:00,BTC/USDT,12799.8,12799.8,10965,11530,41379.77343,485289230.8,360207
1.52E+12,2018-01-20 00:00,BTC/USDT,11474.98,13099,11412.45,12799.94,28768.85783,358561107.8,251647
1.52E+12,2018-01-19 00:00,BTC/USDT,10960,11795,10360,11474.98,34129.37542,382773499.2,273271
1.52E+12,2018-01-18 00:00,BTC/USDT,10972.59,11878.82,10435.33,10961.97,48464.43494,541289614.1,393112
1.52E+12,2018-01-17 00:00,BTC/USDT,10899.99,11680.99,9037.94,10988.79,72331.79665,744154180.1,517293
1.52E+12,2018-01-16 00:00,BTC/USDT,13500,13542.93,9035,10900,63401.16918,722150828.1,418243
1.52E+12,2018-01-15 00:00,BTC/USDT,13477.98,14249.99,13147.79,13539.93,14652.09471,200614554.5,145362
1.52E+12,2018-01-14 00:00,BTC/USDT,14210,14339.5,12569.2,13474.99,17017.89433,226525305.1,152364
1.52E+12,2018-01-13 00:00,BTC/USDT,13749.95,14580,13706.15,14210,12221.50853,173086488.5,123639
1.52E+12,2018-01-12 00:00,BTC/USDT,13238.76,14109.78,12500,13740.01,16417.16214,222516076.3,134452
1.52E+12,2018-01-11 00:00,BTC/USDT,14940,14968.68,11400,13238.78,33554.72375,446587594.7,239416
1.52E+12,2018-01-10 00:00,BTC/USDT,14401,14955.66,13131.31,14907.09,17411.00166,244011366.8,161476
1.52E+12,2018-01-09 00:00,BTC/USDT,14902.54,15500,14011.05,14400,14315.00425,210630187.5,156656
1.52E+12,2018-01-08 00:00,BTC/USDT,16218.85,16322.3,12812,14902.54,26600.60991,396569997.2,208642
1.52E+12,2018-01-07 00:00,BTC/USDT,17069.79,17099.96,15610,16150.03,12493.12556,206194706.4,120269
1.52E+12,2018-01-06 00:00,BTC/USDT,16960.39,17143.13,16011.21,17069.79,18571.45751,309216921,158242
1.52E+12,2018-01-05 00:00,BTC/USDT,15059.56,17176.24,14600,16960.39,23251.49113,369321956.5,192969
1.52E+12,2018-01-04 00:00,BTC/USDT,14919.51,15280,13918.04,15059.54,21329.64957,312781583.8,170310
1.51E+12,2018-01-03 00:00,BTC/USDT,14690,15307.56,14150,14919.51,15905.66764,236116868.3,162787
1.51E+12,2018-01-02 00:00,BTC/USDT,13382.16,15473.49,12890.02,14675.11,20078.09211,279717107.4,177728
1.51E+12,2018-01-01 00:00,BTC/USDT,13715.65,13818.55,12750,13380,8609.915844,114799747.4,105595
1.51E+12,2017-12-31 00:00,BTC/USDT,12345.1,14050.11,12149.98,13716.36,11768.98972,155283285.4,138893
1.51E+12,2017-12-30 00:00,BTC/USDT,14378.99,14398.85,11750,12440.01,19221.15804,247803953.8,190204
1.51E+12,2017-12-29 00:00,BTC/USDT,14199.14,14981,13850,14378.9,18072.00812,260911629.2,142100
1.51E+12,2017-12-28 00:00,BTC/USDT,15459.97,15539.99,13150,14182.11,21717.85801,303401228,178032
1.51E+12,2017-12-27 00:00,BTC/USDT,15709.98,16498.05,14200.15,15459.99,14959.86472,231229932.5,142202
1.51E+12,2017-12-26 00:00,BTC/USDT,13699.34,16050,13533,15689.01,15034.6681,224843731.9,133133
1.51E+12,2017-12-25 00:00,BTC/USDT,13500,14300,12708,13699.34,15748.20761,213139657.6,116416
1.51E+12,2017-12-24 00:00,BTC/USDT,13300,13819.99,11640,13500,28557.53499,365709589.6,173557
1.51E+12,2017-12-23 00:00,BTC/USDT,13326.61,14950,12978.18,13300,13141.53888,184759685.3,135005
1.51E+12,2017-12-22 00:00,BTC/USDT,15514.03,15699.34,10961,13326.61,36076.27118,477509934.7,243261
1.51E+12,2017-12-21 00:00,BTC/USDT,16480.52,17309.5,14022,15492.64,20324.2173,320176825.3,117731
1.51E+12,2017-12-20 00:00,BTC/USDT,17295.2,17720.35,14777.66,16488.98,13450.49669,221193892.5,129762
1.51E+12,2017-12-19 00:00,BTC/USDT,18856.25,18950,16300,17295.2,13210.74822,232790625.9,116569
1.51E+12,2017-12-18 00:00,BTC/USDT,18860.04,19300,17029.98,18856.25,10624.63307,196339245.7,91956
